date,gangsu,price
2021-01-04,,755
2021-01-05,,795
2021-01-06,1.4,829
2021-01-07,3.7,811
2021-01-08,0.1,751
2021-01-11,,749
2021-01-12,0.2,801
2021-01-13,,809
2021-01-14,,799
2021-01-15,,779
2021-01-18,5.2,721
2021-01-19,,696
2021-01-20,,676
2021-01-21,4.7,676
2021-01-22,3.8,670
2021-01-25,,655
2021-01-26,10.6,641
2021-01-27,,641
2021-01-28,2.4,645
2021-01-29,0.0,620
2021-02-01,12.6,622
2021-02-02,,592
2021-02-03,0.1,559
2021-02-04,3.0,575
2021-02-05,,549
2021-02-08,,555
2021-02-09,,549
2021-02-10,,522
2021-02-15,0.8,472
2021-02-16,1.0,467
2021-02-17,3.8,493
2021-02-18,0.1,507
2021-02-19,,502
2021-02-22,,502
2021-02-23,,502
2021-02-24,,459
2021-02-25,10.3,447
2021-02-26,0.1,445
2021-03-02,,459
2021-03-03,,453
2021-03-04,12.1,463
2021-03-05,,473
2021-03-08,,463
2021-03-09,,429
2021-03-10,,439
2021-03-11,,445
2021-03-12,12.9,429
2021-03-15,0.1,422
2021-03-16,2.9,432
2021-03-17,,459
2021-03-18,,492
2021-03-19,,492
2021-03-22,,463
2021-03-23,,463
2021-03-24,,453
2021-03-25,,413
2021-03-26,,403
2021-03-29,,423
2021-03-30,,443
2021-03-31,,433
2021-04-01,,443
2021-04-02,,492
2021-04-05,,492
2021-04-06,,492
2021-04-07,,473
2021-04-08,,453
2021-04-09,0.6,463
2021-04-12,14.9,473
2021-04-13,,463
2021-04-14,,463
2021-04-15,,507
2021-04-16,0.0,496
2021-04-19,,466
2021-04-20,,461
2021-04-21,,461
2021-04-22,0.0,471
2021-04-23,0.1,471
2021-04-26,,502
2021-04-27,,522
2021-04-28,,493
2021-04-29,1.1,493
2021-04-30,0.2,493
2021-05-03,,493
2021-05-04,5.6,512
2021-05-06,,492
2021-05-07,0.0,492
2021-05-10,0.1,512
2021-05-11,0.0,502
2021-05-12,,502
2021-05-13,,512
2021-05-14,0.0,492
2021-05-17,,492
2021-05-18,,463
2021-05-20,15.4,453
2021-05-21,0.1,453
2021-05-24,0.5,476
2021-05-25,1.0,472
2021-05-26,,453
2021-05-27,0.0,453
2021-05-28,8.9,453
2021-05-31,2.0,439
2021-06-01,,428
2021-06-02,,409
2021-06-03,19.0,490
2021-06-04,1.7,487
2021-06-07,,535
2021-06-08,,540
2021-06-09,,540
2021-06-10,0.2,545
2021-06-11,18.1,565
2021-06-14,,507
2021-06-15,13.5,468
2021-06-16,0.0,458
2021-06-17,4.2,458
2021-06-18,4.0,487
2021-06-21,,537
2021-06-22,0.6,517
2021-06-23,16.5,527
2021-06-24,,527
2021-06-25,0.0,507
2021-06-28,0.1,492
2021-06-29,25.1,548
2021-06-30,,548
2021-07-01,0.0,552
2021-07-02,,572
2021-07-05,19.4,752
2021-07-06,65.2,732
2021-07-07,73.6,792
2021-07-08,6.4,792
2021-07-09,0.0,752
2021-07-12,,703
2021-07-13,,559
2021-07-14,,522
2021-07-15,,473
2021-07-16,1.5,498
2021-07-19,0.0,566
2021-07-20,0.0,582
2021-07-21,,546
2021-07-22,,510
2021-07-23,,516
2021-07-26,,572
2021-07-27,,612
2021-07-28,,746
2021-07-29,,686
2021-07-30,,700
2021-08-02,0.4,762
2021-08-03,22.0,788
2021-08-04,,736
2021-08-05,,782
2021-08-06,0.5,762
2021-08-09,,746
2021-08-10,55.6,764
2021-08-11,,768
2021-08-12,18.6,692
2021-08-13,0.1,648
2021-08-17,,578
2021-08-18,1.0,586
2021-08-19,0.0,638
2021-08-20,,636
2021-08-23,27.2,624
2021-08-24,53.9,602
2021-08-25,13.3,639
2021-08-26,0.0,599
2021-08-27,52.0,559
2021-08-30,0.1,599
2021-08-31,0.8,592
2021-09-01,16.8,612
2021-09-02,2.9,650
2021-09-03,0.3,635
2021-09-06,12.4,587
2021-09-07,3.4,589
2021-09-08,1.1,604
2021-09-09,,584
2021-09-10,2.2,533
2021-09-13,,541
2021-09-14,0.1,516
2021-09-15,,542
2021-09-16,0.0,623
2021-09-17,0.8,605
2021-09-23,,605
2021-09-24,,640
2021-09-27,,518
2021-09-28,0.3,438
2021-09-29,26.9,439
2021-09-30,5.3,480
2021-10-01,,453
2021-10-05,,437
2021-10-06,,448
2021-10-07,0.0,505
2021-10-08,0.0,546
2021-10-12,4.5,484
2021-10-13,,449
2021-10-14,,431
2021-10-15,7.1,411
2021-10-18,,421
2021-10-19,0.0,596
2021-10-20,,716
2021-10-21,,636
2021-10-22,,638
2021-10-25,,544
2021-10-26,,534
2021-10-27,,570
2021-10-28,,597
2021-10-29,,602
2021-11-01,,584
2021-11-02,,573
2021-11-03,,592
2021-11-04,,581
2021-11-05,,556
2021-11-08,27.9,572
2021-11-09,4.7,660
2021-11-10,11.0,684
2021-11-11,2.8,712
2021-11-12,1.4,748
2021-11-15,,664
2021-11-16,,637
2021-11-17,,586
2021-11-18,,590
2021-11-19,,566
2021-11-22,3.6,572
2021-11-23,2.2,630
2021-11-24,1.0,597
2021-11-25,,614
2021-11-26,,604
2021-11-29,,606
2021-11-30,21.4,612
2021-12-01,0.7,574
2021-12-02,,596
2021-12-06,,578
2021-12-07,,574
2021-12-08,,568
2021-12-09,,566
2021-12-10,0.0,545
2021-12-13,,552
2021-12-14,,570
2021-12-15,,561
2021-12-16,0.6,518
2021-12-17,0.9,538
2021-12-20,,546
2021-12-21,,544
2021-12-22,,526
2021-12-23,,521
2021-12-24,0.0,544
2021-12-27,,568
2021-12-28,,578
2021-12-29,0.0,578
2021-12-30,2.1,576
2021-12-31,0.0,590
