瘤痢,瘤痢疙,老矫,钦拌 老荤樊(MJ/m2)
146,傈林,2020-01-01,7
146,傈林,2020-01-02,7.08
146,傈林,2020-01-03,8.35
146,傈林,2020-01-04,7.39
146,傈林,2020-01-05,12.04
146,傈林,2020-01-06,1.29
146,傈林,2020-01-07,.7
146,傈林,2020-01-08,.8
146,傈林,2020-01-09,9.6
146,傈林,2020-01-10,11.22
146,傈林,2020-01-11,10.64
146,傈林,2020-01-12,4.33
146,傈林,2020-01-13,7.09
146,傈林,2020-01-14,9.88
146,傈林,2020-01-15,9.96
146,傈林,2020-01-16,10.65
146,傈林,2020-01-17,9.72
146,傈林,2020-01-18,12.78
146,傈林,2020-01-19,5.2
146,傈林,2020-01-20,8.92
146,傈林,2020-01-21,13.76
146,傈林,2020-01-22,1.72
146,傈林,2020-01-23,9.6
146,傈林,2020-01-24,11.9
146,傈林,2020-01-25,5.56
146,傈林,2020-01-26,8.57
146,傈林,2020-01-27,2.16
146,傈林,2020-01-28,7.74
146,傈林,2020-01-29,6.04
146,傈林,2020-01-30,8.87
146,傈林,2020-01-31,11.8
146,傈林,2020-02-01,7.84
146,傈林,2020-02-02,11.72
146,傈林,2020-02-03,13.23
146,傈林,2020-02-04,15.54
146,傈林,2020-02-05,16.09
146,傈林,2020-02-06,12.84
146,傈林,2020-02-07,13.33
146,傈林,2020-02-08,13.28
146,傈林,2020-02-09,15.98
146,傈林,2020-02-10,14.33
146,傈林,2020-02-11,12.92
146,傈林,2020-02-12,1.46
146,傈林,2020-02-13,2.4
146,傈林,2020-02-14,14.58
146,傈林,2020-02-15,8.21
146,傈林,2020-02-16,5.21
146,傈林,2020-02-17,8.17
146,傈林,2020-02-18,17.56
146,傈林,2020-02-19,16.39
146,傈林,2020-02-20,16.06
146,傈林,2020-02-21,14.71
146,傈林,2020-02-22,13.47
146,傈林,2020-02-23,19
146,傈林,2020-02-24,16.77
146,傈林,2020-02-25,.86
146,傈林,2020-02-26,14.43
146,傈林,2020-02-27,17.39
146,傈林,2020-02-28,3.12
146,傈林,2020-02-29,13.08
146,傈林,2020-03-01,4.73
146,傈林,2020-03-02,18.89
146,傈林,2020-03-03,17.29
146,傈林,2020-03-04,17.77
146,傈林,2020-03-05,20.41
146,傈林,2020-03-06,21.61
146,傈林,2020-03-07,8.21
146,傈林,2020-03-08,20.31
146,傈林,2020-03-09,9.31
146,傈林,2020-03-10,1.91
146,傈林,2020-03-11,22.41
146,傈林,2020-03-12,21.53
146,傈林,2020-03-13,17.09
146,傈林,2020-03-14,22.31
146,傈林,2020-03-15,18.04
146,傈林,2020-03-16,22.56
146,傈林,2020-03-17,18.75
146,傈林,2020-03-18,22.88
146,傈林,2020-03-19,17.42
146,傈林,2020-03-20,22.58
146,傈林,2020-03-21,19.51
146,傈林,2020-03-22,22.77
146,傈林,2020-03-23,22.89
146,傈林,2020-03-24,22.41
146,傈林,2020-03-25,22.72
146,傈林,2020-03-26,3.73
146,傈林,2020-03-27,7.11
146,傈林,2020-03-28,13.42
146,傈林,2020-03-29,22.02
146,傈林,2020-03-30,21.81
146,傈林,2020-03-31,22.71
146,傈林,2020-04-01,19.09
146,傈林,2020-04-02,21.59
146,傈林,2020-04-03,24.13
146,傈林,2020-04-04,21.3
146,傈林,2020-04-05,26.42
146,傈林,2020-04-06,24.49
146,傈林,2020-04-07,22.64
146,傈林,2020-04-08,25.4
146,傈林,2020-04-09,23.05
146,傈林,2020-04-10,22.91
146,傈林,2020-04-11,9.16
146,傈林,2020-04-12,15.38
146,傈林,2020-04-13,24.58
146,傈林,2020-04-14,27.37
146,傈林,2020-04-15,21.1
146,傈林,2020-04-16,26.63
146,傈林,2020-04-17,15.6
146,傈林,2020-04-18,19.31
146,傈林,2020-04-19,4.38
146,傈林,2020-04-20,11.99
146,傈林,2020-04-21,27.29
146,傈林,2020-04-22,26.29
146,傈林,2020-04-23,26.46
146,傈林,2020-04-24,28.69
146,傈林,2020-04-25,25.85
146,傈林,2020-04-26,27.87
146,傈林,2020-04-27,27.79
146,傈林,2020-04-28,27.66
146,傈林,2020-04-29,28.08
146,傈林,2020-04-30,28.26
146,傈林,2020-05-01,26.39
146,傈林,2020-05-02,12.79
146,傈林,2020-05-03,8.41
146,傈林,2020-05-04,20.8
146,傈林,2020-05-05,9.24
146,傈林,2020-05-06,28.95
146,傈林,2020-05-07,29.08
146,傈林,2020-05-08,23.68
146,傈林,2020-05-09,4.62
146,傈林,2020-05-10,6.74
146,傈林,2020-05-11,25.68
146,傈林,2020-05-12,27.19
146,傈林,2020-05-13,30.18
146,傈林,2020-05-14,23.54
146,傈林,2020-05-15,1.99
146,傈林,2020-05-16,6.11
146,傈林,2020-05-17,25.98
146,傈林,2020-05-18,20.24
146,傈林,2020-05-19,8.75
146,傈林,2020-05-20,29.52
146,傈林,2020-05-21,27.34
146,傈林,2020-05-22,25.47
146,傈林,2020-05-23,29.08
146,傈林,2020-05-24,9.06
146,傈林,2020-05-25,14.76
146,傈林,2020-05-26,19.14
146,傈林,2020-05-27,28.58
146,傈林,2020-05-28,28.23
146,傈林,2020-05-29,28.76
146,傈林,2020-05-30,22.16
146,傈林,2020-05-31,17.25
146,傈林,2020-06-01,24.2
146,傈林,2020-06-02,16.12
146,傈林,2020-06-03,22.65
146,傈林,2020-06-04,20.56
146,傈林,2020-06-05,21.79
146,傈林,2020-06-06,18.65
146,傈林,2020-06-07,22.66
146,傈林,2020-06-08,26.03
146,傈林,2020-06-09,27.36
146,傈林,2020-06-10,21.41
146,傈林,2020-06-11,19.93
146,傈林,2020-06-12,8.58
146,傈林,2020-06-13,11.04
146,傈林,2020-06-14,9.78
146,傈林,2020-06-15,25.97
146,傈林,2020-06-16,24.56
146,傈林,2020-06-17,13.15
146,傈林,2020-06-18,6.26
146,傈林,2020-06-19,24.26
146,傈林,2020-06-20,19.29
146,傈林,2020-06-21,22.57
146,傈林,2020-06-22,25.66
146,傈林,2020-06-23,21.35
146,傈林,2020-06-24,4.04
146,傈林,2020-06-25,4.36
146,傈林,2020-06-26,18.12
146,傈林,2020-06-27,18.75
146,傈林,2020-06-28,20.2
146,傈林,2020-06-29,6.19
146,傈林,2020-06-30,7.85
146,傈林,2020-07-01,16.49
146,傈林,2020-07-02,21.85
146,傈林,2020-07-03,5.36
146,傈林,2020-07-04,5.55
146,傈林,2020-07-05,16.2
146,傈林,2020-07-06,14.39
146,傈林,2020-07-07,13.5
146,傈林,2020-07-08,21.7
146,傈林,2020-07-09,22.06
146,傈林,2020-07-10,17.51
146,傈林,2020-07-11,17.08
146,傈林,2020-07-12,4.01
146,傈林,2020-07-13,4.5
146,傈林,2020-07-14,5.23
146,傈林,2020-07-15,6.75
146,傈林,2020-07-16,24.24
146,傈林,2020-07-17,19.34
146,傈林,2020-07-18,15.95
146,傈林,2020-07-19,14.05
146,傈林,2020-07-20,9.43
146,傈林,2020-07-21,21.96
146,傈林,2020-07-22,4.19
146,傈林,2020-07-23,3.34
146,傈林,2020-07-24,5.86
146,傈林,2020-07-25,10.77
146,傈林,2020-07-26,13.51
146,傈林,2020-07-27,9.16
146,傈林,2020-07-28,9.57
146,傈林,2020-07-29,4.94
146,傈林,2020-07-30,6.98
146,傈林,2020-07-31,10.14
146,傈林,2020-08-01,13.01
146,傈林,2020-08-02,13.16
146,傈林,2020-08-03,13.63
146,傈林,2020-08-04,19.01
146,傈林,2020-08-05,10.49
146,傈林,2020-08-06,6.15
146,傈林,2020-08-07,1.49
146,傈林,2020-08-08,.85
146,傈林,2020-08-09,11.49
146,傈林,2020-08-10,6.95
146,傈林,2020-08-11,10.14
146,傈林,2020-08-12,13.36
146,傈林,2020-08-13,17.93
146,傈林,2020-08-14,15.15
146,傈林,2020-08-15,20.49
146,傈林,2020-08-16,25.25
146,傈林,2020-08-17,21.06
146,傈林,2020-08-18,22.79
146,傈林,2020-08-19,24.54
146,傈林,2020-08-20,24.02
146,傈林,2020-08-21,23.75
146,傈林,2020-08-22,8.2
146,傈林,2020-08-23,22.6
146,傈林,2020-08-24,19.66
146,傈林,2020-08-25,19.77
146,傈林,2020-08-26,11.61
146,傈林,2020-08-27,15
146,傈林,2020-08-28,16.09
146,傈林,2020-08-29,9.97
146,傈林,2020-08-30,18.99
146,傈林,2020-08-31,10.32
146,傈林,2020-09-01,14.98
146,傈林,2020-09-02,6.02
146,傈林,2020-09-03,15.42
146,傈林,2020-09-04,19.61
146,傈林,2020-09-05,5.77
146,傈林,2020-09-06,5.74
146,傈林,2020-09-07,3.9
146,傈林,2020-09-08,16.91
146,傈林,2020-09-09,15.34
146,傈林,2020-09-10,15.04
146,傈林,2020-09-11,5.06
146,傈林,2020-09-12,12.65
146,傈林,2020-09-13,14.73
146,傈林,2020-09-14,18.82
146,傈林,2020-09-15,19.7
146,傈林,2020-09-16,6.61
146,傈林,2020-09-17,7.36
146,傈林,2020-09-18,12.83
146,傈林,2020-09-19,17.99
146,傈林,2020-09-20,18.03
146,傈林,2020-09-21,18
146,傈林,2020-09-22,15.39
146,傈林,2020-09-23,13.24
146,傈林,2020-09-24,16.75
146,傈林,2020-09-25,15.61
146,傈林,2020-09-26,17.59
146,傈林,2020-09-27,19.17
146,傈林,2020-09-28,18.57
146,傈林,2020-09-29,16.23
146,傈林,2020-09-30,16.37
146,傈林,2020-10-01,16.2
146,傈林,2020-10-02,16.04
146,傈林,2020-10-03,10.04
146,傈林,2020-10-04,3.95
146,傈林,2020-10-05,17.43
146,傈林,2020-10-06,18.94
146,傈林,2020-10-07,16.73
146,傈林,2020-10-08,18.62
146,傈林,2020-10-09,18.02
146,傈林,2020-10-10,17.62
146,傈林,2020-10-11,12.47
146,傈林,2020-10-12,12.42
146,傈林,2020-10-13,10.86
146,傈林,2020-10-14,7.24
146,傈林,2020-10-15,16.62
146,傈林,2020-10-16,5.27
146,傈林,2020-10-17,14.14
146,傈林,2020-10-18,17.07
146,傈林,2020-10-19,14.92
146,傈林,2020-10-20,16.07
146,傈林,2020-10-21,3.99
146,傈林,2020-10-22,9.3
146,傈林,2020-10-23,16.36
146,傈林,2020-10-24,16.23
146,傈林,2020-10-25,14.52
146,傈林,2020-10-26,14.35
146,傈林,2020-10-27,13.35
146,傈林,2020-10-28,10.56
146,傈林,2020-10-29,15.21
146,傈林,2020-10-30,14.33
146,傈林,2020-10-31,13.38
146,傈林,2020-11-01,2.31
146,傈林,2020-11-02,12.76
146,傈林,2020-11-03,11.32
146,傈林,2020-11-04,14.91
146,傈林,2020-11-05,12.68
146,傈林,2020-11-06,2.76
146,傈林,2020-11-07,10.87
146,傈林,2020-11-08,13.26
146,傈林,2020-11-09,13.71
146,傈林,2020-11-10,13.56
146,傈林,2020-11-11,13.13
146,傈林,2020-11-12,12.93
146,傈林,2020-11-13,11.52
146,傈林,2020-11-14,11.92
146,傈林,2020-11-15,11.64
146,傈林,2020-11-16,9.79
146,傈林,2020-11-17,5.36
146,傈林,2020-11-18,5.25
146,傈林,2020-11-19,.99
146,傈林,2020-11-20,1.26
146,傈林,2020-11-21,11.78
146,傈林,2020-11-22,1.48
146,傈林,2020-11-23,10.64
146,傈林,2020-11-24,9.47
146,傈林,2020-11-25,11.39
146,傈林,2020-11-26,9.56
146,傈林,2020-11-27,4.46
146,傈林,2020-11-28,11.06
146,傈林,2020-11-29,4.71
146,傈林,2020-11-30,10.94
146,傈林,2020-12-01,11.26
146,傈林,2020-12-02,10.02
146,傈林,2020-12-03,9.57
146,傈林,2020-12-04,9.75
146,傈林,2020-12-05,9.88
146,傈林,2020-12-06,9.88
146,傈林,2020-12-07,5.6
146,傈林,2020-12-08,8.92
146,傈林,2020-12-09,10.24
146,傈林,2020-12-10,7.08
146,傈林,2020-12-11,5.43
146,傈林,2020-12-12,10.22
146,傈林,2020-12-13,2.43
146,傈林,2020-12-14,11.28
146,傈林,2020-12-15,11.1
146,傈林,2020-12-16,8.97
146,傈林,2020-12-17,10.62
146,傈林,2020-12-18,4.56
146,傈林,2020-12-19,11.39
146,傈林,2020-12-20,10.05
146,傈林,2020-12-21,6.96
146,傈林,2020-12-22,5.63
146,傈林,2020-12-23,7.03
146,傈林,2020-12-24,9.02
146,傈林,2020-12-25,11.07
146,傈林,2020-12-26,4.58
146,傈林,2020-12-27,3.03
146,傈林,2020-12-28,10.09
146,傈林,2020-12-29,4.39
146,傈林,2020-12-30,9.03
146,傈林,2020-12-31,9.39
